Date,Open,High,Low,Close,Adj Close,Volume
2022-01-26,81.910004,82.029999,79.279999,79.589996,78.229874,13971300
2022-01-27,80.110001,81.150002,79.199997,79.779999,78.416634,10331900
2022-01-28,79.989998,80.500000,78.570000,80.480003,79.104668,7854700
2022-01-31,80.489998,81.639999,80.120003,81.160004,79.773056,10594200
2022-02-01,81.400002,81.400002,79.650002,81.040001,79.655098,8016900
2022-02-02,81.160004,82.879997,80.839996,82.500000,81.090149,9287600
2022-02-03,81.629997,82.760002,81.629997,81.940002,80.539719,8207200
2022-02-04,82.029999,82.910004,81.470001,82.110001,80.706818,5570200
2022-02-07,82.139999,82.250000,80.660004,80.739998,79.360222,6292200
2022-02-08,80.290001,80.860001,79.800003,80.790001,79.409378,6585300
2022-02-09,81.750000,83.650002,81.650002,83.449997,82.023903,8755900
2022-02-10,82.750000,83.779999,81.620003,81.849998,80.451256,6336300
2022-02-11,81.839996,82.430000,79.529999,79.750000,78.387138,7670500
2022-02-14,79.580002,79.730003,78.440002,78.949997,77.600807,5389800
2022-02-15,79.389999,79.930000,79.209999,79.769997,78.406799,5712800
2022-02-16,79.470001,79.779999,78.220001,79.190002,77.836716,6227000
2022-02-17,78.760002,78.980003,75.330002,75.529999,74.239265,9247100
2022-02-18,75.500000,75.730003,74.279999,74.570000,73.295662,7790100
2022-02-22,73.820000,74.910004,73.620003,74.120003,72.853363,8039000
2022-02-23,74.070000,74.379997,72.349998,72.470001,71.231552,6807100
2022-02-24,70.940002,74.940002,70.230003,74.809998,73.531563,11240500
2022-02-25,74.650002,76.830002,74.320000,76.349998,75.045242,8291800
2022-02-28,75.570000,76.699997,75.019997,75.970001,74.671738,9234400
2022-03-01,75.980003,76.500000,75.620003,76.010002,74.711060,8752100
2022-03-02,76.449997,78.860001,76.250000,78.279999,76.942261,8527200
2022-03-03,78.959999,79.040001,77.430000,78.250000,76.912773,8203000
2022-03-04,77.669998,77.910004,75.779999,76.489998,75.182846,8841300
2022-03-07,76.290001,76.389999,73.440002,74.320000,73.049942,11110100
2022-03-08,73.839996,75.230003,73.110001,73.330002,72.076859,9134100
2022-03-09,74.919998,76.949997,74.690002,76.099998,74.799515,8959500
2022-03-10,75.099998,76.849998,75.029999,76.650002,75.340126,13812600
2022-03-11,76.699997,79.900002,74.000000,77.820000,76.490120,22795800
2022-03-14,77.919998,78.599998,75.440002,77.070000,75.752937,13306200
2022-03-15,78.050003,81.540001,77.070000,80.599998,79.222618,16847200
2022-03-16,81.000000,81.230003,77.750000,79.959999,78.593544,14071300
2022-03-17,79.779999,81.290001,79.260002,80.599998,79.222618,10462400
2022-03-18,79.629997,81.989998,78.839996,81.680000,80.284157,24176000
2022-03-21,81.279999,81.980003,80.269997,80.959999,79.576462,8131300
2022-03-22,81.459999,82.230003,80.830002,81.800003,80.402115,9292300
2022-03-23,81.250000,81.410004,80.220001,80.389999,79.016212,7451100
2022-03-24,80.650002,82.820000,80.489998,82.239998,80.834595,7025700
2022-03-25,82.040001,82.839996,81.230003,81.730003,80.333305,5682300
2022-03-28,81.739998,83.709999,81.739998,83.599998,82.171349,6626700
2022-03-29,84.489998,84.510002,83.110001,84.290001,82.849548,5762000
2022-03-30,83.959999,84.360001,83.120003,83.360001,81.935448,5533100
2022-03-31,83.110001,83.910004,82.589996,82.730003,81.316216,9433300
2022-04-01,83.040001,83.360001,81.470001,82.010002,80.608521,6147500
2022-04-04,82.250000,84.300003,82.000000,84.070000,82.633316,7882400
2022-04-05,83.400002,84.519997,82.669998,82.940002,81.522621,5143400
2022-04-06,81.919998,82.470001,81.370003,82.120003,80.716644,5492400
2022-04-07,81.250000,82.010002,80.779999,81.540001,80.460083,7112200
2022-04-08,81.709999,81.830002,80.260002,80.940002,79.868027,6182500
2022-04-11,80.629997,81.129997,79.699997,79.760002,78.703659,5738400
2022-04-12,79.949997,80.989998,79.019997,79.330002,78.279350,6174700
2022-04-13,79.260002,79.959999,78.629997,79.750000,78.693787,4728600
2022-04-14,79.830002,80.360001,79.320000,79.449997,78.397766,5590400
2022-04-18,79.150002,79.980003,77.910004,78.220001,77.184052,4955900
2022-04-19,78.250000,79.779999,78.239998,79.559998,78.506302,5412400
2022-04-20,79.790001,81.860001,79.790001,80.290001,79.226639,9472600
2022-04-21,81.489998,81.599998,79.330002,79.480003,78.427368,5616100
2022-04-22,79.269997,79.699997,76.160004,76.209999,75.200676,9357100
2022-04-25,76.199997,77.059998,74.699997,76.980003,75.960487,7305900
2022-04-26,76.349998,76.650002,74.480003,74.510002,73.523186,7555200
2022-04-27,74.580002,76.019997,74.419998,74.760002,73.769882,7279200
2022-04-28,75.519997,76.629997,74.599998,76.139999,75.131599,6177900
2022-04-29,75.339996,75.870003,73.150002,73.400002,72.427887,7946900
2022-05-02,73.930000,74.599998,72.529999,74.000000,73.019943,7379900
2022-05-03,73.849998,74.209999,72.809998,73.290001,72.319344,5211500
2022-05-04,73.379997,75.349998,72.790001,75.209999,74.213913,6759900
2022-05-05,74.000000,74.720001,71.989998,72.800003,71.835846,7197200
2022-05-06,72.129997,72.940002,71.629997,72.489998,71.529938,6222500
2022-05-09,71.639999,72.589996,71.169998,71.540001,70.592522,7019700
2022-05-10,72.500000,73.620003,71.269997,72.529999,71.569412,8129000
2022-05-11,72.309998,73.459999,70.870003,71.029999,70.089272,6932100
2022-05-12,70.879997,70.930000,68.970001,70.730003,69.793259,11698900
2022-05-13,70.959999,71.980003,70.529999,71.169998,70.227417,6700100
2022-05-16,70.690002,70.910004,69.389999,69.709999,68.786758,6942100
2022-05-17,71.050003,71.900002,70.699997,71.879997,70.928017,5952500
2022-05-18,70.800003,70.940002,67.809998,68.300003,67.395432,7977300
2022-05-19,67.480003,67.900002,66.720001,67.040001,66.152122,9451600
2022-05-20,67.879997,68.690002,66.849998,68.629997,67.721062,7531100
2022-05-23,69.309998,70.470001,68.669998,70.040001,69.112389,7370200
2022-05-24,69.669998,70.529999,68.309998,69.029999,68.115768,6644100
2022-05-25,68.879997,70.220001,68.769997,69.830002,68.905167,7103300
2022-05-26,70.129997,72.120003,69.910004,71.660004,70.710945,6758900
2022-05-27,72.360001,72.849998,71.550003,72.779999,71.816101,6566700
2022-05-31,72.230003,72.980003,71.519997,71.919998,70.967491,16890300
2022-06-01,73.019997,73.269997,71.150002,71.599998,70.651726,5804700
2022-06-02,71.480003,73.190002,71.010002,73.139999,72.171333,6200400
